"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2020 16:30:00 - 01/01/2020 16:45:00","BZN|DE-LU","Sequence Sequence 2","39.08","",""
"01/01/2020 16:45:00 - 01/01/2020 17:00:00","BZN|DE-LU","Sequence Sequence 1","35.98","",""
"01/01/2020 16:45:00 - 01/01/2020 17:00:00","BZN|DE-LU","Sequence Sequence 2","46.19","",""
"01/01/2020 17:00:00 - 01/01/2020 17:15:00","BZN|DE-LU","Sequence Sequence 1","40.40","",""
"01/01/2020 17:00:00 - 01/01/2020 17:15:00","BZN|DE-LU","Sequence Sequence 2","32.55","",""
"01/01/2020 17:15:00 - 01/01/2020 17:30:00","BZN|DE-LU","Sequence Sequence 1","40.40","",""
"01/01/2020 17:15:00 - 01/01/2020 17:30:00","BZN|DE-LU","Sequence Sequence 2","36.56","",""
"01/01/2020 17:30:00 - 01/01/2020 17:45:00","BZN|DE-LU","Sequence Sequence 1","40.40","",""
"01/01/2020 17:30:00 - 01/01/2020 17:45:00","BZN|DE-LU","Sequence Sequence 2","41.08","",""
"01/01/2020 17:45:00 - 01/01/2020 18:00:00","BZN|DE-LU","Sequence Sequence 1","40.40","",""
"01/01/2020 17:45:00 - 01/01/2020 18:00:00","BZN|DE-LU","Sequence Sequence 2","45.21","",""
"01/01/2020 18:00:00 - 01/01/2020 18:15:00","BZN|DE-LU","Sequence Sequence 1","44.05","",""
"01/01/2020 18:00:00 - 01/01/2020 18:15:00","BZN|DE-LU","Sequence Sequence 2","43.06","",""
"01/01/2020 18:15:00 - 01/01/2020 18:30:00","BZN|DE-LU","Sequence Sequence 1","44.05","",""
"01/01/2020 18:15:00 - 01/01/2020 18:30:00","BZN|DE-LU","Sequence Sequence 2","39.28","",""
"01/01/2020 18:30:00 - 01/01/2020 18:45:00","BZN|DE-LU","Sequence Sequence 1","44.05","",""
"01/01/2020 18:30:00 - 01/01/2020 18:45:00","BZN|DE-LU","Sequence Sequence 2","37.67","",""
"01/01/2020 18:45:00 - 01/01/2020 19:00:00","BZN|DE-LU","Sequence Sequence 1","44.05","",""
"01/01/2020 18:45:00 - 01/01/2020 19:00:00","BZN|DE-LU","Sequence Sequence 2","32.00","",""
"01/01/2020 19:00:00 - 01/01/2020 19:15:00","BZN|DE-LU","Sequence Sequence 1","43.15","",""
"01/01/2020 19:00:00 - 01/01/2020 19:15:00","BZN|DE-LU","Sequence Sequence 2","45.14","",""
"01/01/2020 19:15:00 - 01/01/2020 19:30:00","BZN|DE-LU","Sequence Sequence 1","43.15","",""
"01/01/2020 19:15:00 - 01/01/2020 19:30:00","BZN|DE-LU","Sequence Sequence 2","35.84","",""
"01/01/2020 19:30:00 - 01/01/2020 19:45:00","BZN|DE-LU","Sequence Sequence 1","43.15","",""
"01/01/2020 19:30:00 - 01/01/2020 19:45:00","BZN|DE-LU","Sequence Sequence 2","31.90","",""
"01/01/2020 19:45:00 - 01/01/2020 20:00:00","BZN|DE-LU","Sequence Sequence 1","43.15","",""
"01/01/2020 19:45:00 - 01/01/2020 20:00:00","BZN|DE-LU","Sequence Sequence 2","25.52","",""
"01/01/2020 20:00:00 - 01/01/2020 20:15:00","BZN|DE-LU","Sequence Sequence 1","43.45","",""
"01/01/2020 20:00:00 - 01/01/2020 20:15:00","BZN|DE-LU","Sequence Sequence 2","43.69","",""
"01/01/2020 20:15:00 - 01/01/2020 20:30:00","BZN|DE-LU","Sequence Sequence 1","43.45","",""
"01/01/2020 20:15:00 - 01/01/2020 20:30:00","BZN|DE-LU","Sequence Sequence 2","40.55","",""
"01/01/2020 20:30:00 - 01/01/2020 20:45:00","BZN|DE-LU","Sequence Sequence 1","43.45","",""
"01/01/2020 20:30:00 - 01/01/2020 20:45:00","BZN|DE-LU","Sequence Sequence 2","30.21","",""
"01/01/2020 20:45:00 - 01/01/2020 21:00:00","BZN|DE-LU","Sequence Sequence 1","43.45","",""
"01/01/2020 20:45:00 - 01/01/2020 21:00:00","BZN|DE-LU","Sequence Sequence 2","25.52","",""
"01/01/2020 21:00:00 - 01/01/2020 21:15:00","BZN|DE-LU","Sequence Sequence 1","40.68","",""
"01/01/2020 21:00:00 - 01/01/2020 21:15:00","BZN|DE-LU","Sequence Sequence 2","40.23","",""
"01/01/2020 21:15:00 - 01/01/2020 21:30:00","BZN|DE-LU","Sequence Sequence 1","40.68","",""
"01/01/2020 21:15:00 - 01/01/2020 21:30:00","BZN|DE-LU","Sequence Sequence 2","34.09","",""
"01/01/2020 21:30:00 - 01/01/2020 21:45:00","BZN|DE-LU","Sequence Sequence 1","40.68","",""
"01/01/2020 21:30:00 - 01/01/2020 21:45:00","BZN|DE-LU","Sequence Sequence 2","26.95","",""
"01/01/2020 21:45:00 - 01/01/2020 22:00:00","BZN|DE-LU","Sequence Sequence 1","40.68","",""
"01/01/2020 21:45:00 - 01/01/2020 22:00:00","BZN|DE-LU","Sequence Sequence 2","28.74","",""
"01/01/2020 22:00:00 - 01/01/2020 22:15:00","BZN|DE-LU","Sequence Sequence 1","40.27","",""
"01/01/2020 22:00:00 - 01/01/2020 22:15:00","BZN|DE-LU","Sequence Sequence 2","42.95","",""
"01/01/2020 22:15:00 - 01/01/2020 22:30:00","BZN|DE-LU","Sequence Sequence 1","40.27","",""
"01/01/2020 22:15:00 - 01/01/2020 22:30:00","BZN|DE-LU","Sequence Sequence 2","34.87","",""
"01/01/2020 22:30:00 - 01/01/2020 22:45:00","BZN|DE-LU","Sequence Sequence 1","40.27","",""
"01/01/2020 22:30:00 - 01/01/2020 22:45:00","BZN|DE-LU","Sequence Sequence 2","26.90","",""
"01/01/2020 22:45:00 - 01/01/2020 23:00:00","BZN|DE-LU","Sequence Sequence 1","40.27","",""
"01/01/2020 22:45:00 - 01/01/2020 23:00:00","BZN|DE-LU","Sequence Sequence 2","17.68","",""
"01/01/2020 23:00:00 - 01/01/2020 23:15:00","BZN|DE-LU","Sequence Sequence 1","40.27","",""
"01/01/2020 23:00:00 - 01/01/2020 23:15:00","BZN|DE-LU","Sequence Sequence 2","44.72","",""
"01/01/2020 23:15:00 - 01/01/2020 23:30:00","BZN|DE-LU","Sequence Sequence 1","40.27","",""
"01/01/2020 23:15:00 - 01/01/2020 23:30:00","BZN|DE-LU","Sequence Sequence 2","39.12","",""
"01/01/2020 23:30:00 - 01/01/2020 23:45:00","BZN|DE-LU","Sequence Sequence 1","40.27","",""
"01/01/2020 23:30:00 - 01/01/2020 23:45:00","BZN|DE-LU","Sequence Sequence 2","24.17","",""
"01/01/2020 23:45:00 - 02/01/2020 00:00:00","BZN|DE-LU","Sequence Sequence 1","40.27","",""
"01/01/2020 23:45:00 - 02/01/2020 00:00:00","BZN|DE-LU","Sequence Sequence 2","24.17","",""
"02/01/2020 00:00:00 - 02/01/2020 00:15:00","BZN|DE-LU","Sequence Sequence 1","35.40","",""
"02/01/2020 00:00:00 - 02/01/2020 00:15:00","BZN|DE-LU","Sequence Sequence 2","38.72","",""
"02/01/2020 00:15:00 - 02/01/2020 00:30:00","BZN|DE-LU","Sequence Sequence 1","35.40","",""
"02/01/2020 00:15:00 - 02/01/2020 00:30:00","BZN|DE-LU","Sequence Sequence 2","25.67","",""
